filename, -Road narrows on right, 50 mph speed limit, Attention Please-, Beware of children, CYCLE ROUTE AHEAD WARNING, Dangerous Left Curve Ahead, Dangerous Rright Curve Ahead, End of all speed and passing limits, Give Way, Go Straight or Turn Right, Go straight or turn left, Keep-Left, Keep-Right, Left Zig Zag Traffic, No Entry, No_Over_Taking, Overtaking by trucks is prohibited, Pedestrian Crossing, Round-About, Slippery Road Ahead, Speed Limit 20 KMPh, Speed Limit 30 KMPh, Stop_Sign, Straight Ahead Only, Traffic_signal, Truck traffic is prohibited, Turn left ahead, Turn right ahead, Uneven Road
00001_00060_00025_png_jpg.rf.000c35625c7010cffe4f4cbc61d51afb.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
00001_00051_00027_png_jpg.rf.0052c6e05926431bdd89cadaff642857.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
00041_00001_00014_png_jpg.rf.00ba6c1c3be631b86e54f6d4cfbb7af1.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001_00052_00009_png_jpg.rf.00fb056bf1f94c7c6b481d8858deb155.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
00001_00040_00023_png_jpg.rf.01e98501f312e02b6e34cddedd7c47e1.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
00001_00037_00012_png_jpg.rf.0177b0037611d1c8b782380dd943b376.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
00041_00001_00018_png_jpg.rf.021a3155b96d5eb740fceb88c39112d2.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000_00003_00017_png_jpg.rf.0325f56db35d0ec26db044c5d37c6605.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
00001_00072_00024_png_jpg.rf.03b1b9e5ffc3d16bb4fd65122689cd6c.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
00001_00068_00009_png_jpg.rf.03d41ad7aab4eb8d7871a251353332ab.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
00001_00041_00023_png_jpg.rf.03dcb4c9ab9e2d37c4da66c40c5d68a3.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
00001_00038_00017_png_jpg.rf.04025ee46e0122ef00c4111fcf1872d9.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
00001_00058_00013_png_jpg.rf.0098da329bf2ac58f5227d23fed2b31a.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
00001_00043_00020_png_jpg.rf.02755f10a8f5b3b34df5e500081ef1fd.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
00001_00030_00009_png_jpg.rf.02a47a04a5e7f2d533d84d60ed5a052c.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
00001_00055_00019_png_jpg.rf.02afa3afb8a970ac5d62e97865b75e6a.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
00001_00022_00007_png_jpg.rf.04423c1dbc2de0890501a277d3f7b531.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
